Date,Confirmed,Recovered,Deaths
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,2.0,0.0,0.0
2020-01-25,3.0,0.0,0.0
2020-01-26,3.0,0.0,0.0
2020-01-27,3.0,0.0,0.0
2020-01-28,4.0,0.0,0.0
2020-01-29,5.0,0.0,0.0
2020-01-30,5.0,0.0,0.0
2020-01-31,5.0,0.0,0.0
2020-02-01,6.0,0.0,0.0
2020-02-02,6.0,0.0,0.0
2020-02-03,6.0,0.0,0.0
2020-02-04,6.0,0.0,0.0
2020-02-05,6.0,0.0,0.0
2020-02-06,6.0,0.0,0.0
2020-02-07,6.0,0.0,0.0
2020-02-08,11.0,0.0,0.0
2020-02-09,11.0,0.0,0.0
2020-02-10,11.0,0.0,0.0
2020-02-11,11.0,0.0,0.0
2020-02-12,11.0,2.0,0.0
2020-02-13,11.0,2.0,0.0
2020-02-14,11.0,2.0,0.0
2020-02-15,12.0,4.0,1.0
2020-02-16,12.0,4.0,1.0
2020-02-17,12.0,4.0,1.0
2020-02-18,12.0,4.0,1.0
2020-02-19,12.0,4.0,1.0
2020-02-20,12.0,4.0,1.0
2020-02-21,12.0,4.0,1.0
2020-02-22,12.0,4.0,1.0
2020-02-23,12.0,4.0,1.0
2020-02-24,12.0,4.0,1.0
2020-02-25,14.0,11.0,1.0
2020-02-26,18.0,11.0,2.0
2020-02-27,38.0,11.0,2.0
2020-02-28,57.0,11.0,2.0
2020-02-29,100.0,12.0,2.0
2020-03-01,130.0,12.0,2.0
2020-03-02,191.0,12.0,3.0
2020-03-03,204.0,12.0,4.0
2020-03-04,285.0,12.0,4.0
2020-03-05,377.0,12.0,6.0
2020-03-06,653.0,12.0,9.0
2020-03-07,949.0,12.0,11.0
2020-03-08,1126.0,12.0,19.0
2020-03-09,1209.0,12.0,19.0
2020-03-10,1784.0,12.0,33.0
2020-03-11,2281.0,12.0,48.0
2020-03-12,2281.0,12.0,48.0
2020-03-13,3661.0,12.0,79.0
2020-03-14,4469.0,12.0,91.0
2020-03-15,4499.0,12.0,91.0
2020-03-16,6633.0,12.0,148.0
2020-03-17,7652.0,12.0,148.0
2020-03-18,9043.0,12.0,148.0
2020-03-19,10871.0,12.0,243.0
2020-03-20,12612.0,12.0,450.0
2020-03-21,14282.0,12.0,562.0
2020-03-22,16018.0,2200.0,674.0
2020-03-23,19856.0,2200.0,860.0
2020-03-24,22304.0,3243.0,1100.0
2020-03-25,25233.0,3900.0,1331.0
2020-03-26,29155.0,4948.0,1696.0
2020-03-27,32964.0,5700.0,1995.0
2020-03-28,37575.0,5700.0,2314.0
2020-03-29,40174.0,7202.0,2606.0
2020-03-30,44550.0,7927.0,3024.0
2020-03-31,52128.0,9444.0,3523.0
2020-04-01,56989.0,10934.0,4403.0
2020-04-02,59105.0,12428.0,5387.0
2020-04-03,64338.0,14008.0,6507.0
2020-04-04,68605.0,15438.0,7560.0
2020-04-05,70478.0,16183.0,8078.0
2020-04-06,74390.0,17250.0,8911.0
2020-04-07,78167.0,19337.0,10328.0
2020-04-08,82048.0,21254.0,10869.0
2020-04-09,86334.0,23206.0,12210.0
2020-04-10,90676.0,24932.0,13197.0
2020-04-11,93790.0,26391.0,13832.0
2020-04-12,120633.0,27186.0,14393.0
2020-04-13,124298.0,27718.0,14967.0
2020-04-14,129257.0,28512.0,15712.0
2020-04-15,132473.0,30440.0,17148.0
2020-04-16,144944.0,32297.0,17901.0
2020-04-17,146923.0,33834.0,18661.0
2020-04-18,146906.0,35379.0,19303.0
2020-04-19,151808.0,35973.0,19694.0
2020-04-20,154188.0,36782.0,20240.0
2020-04-21,156921.0,38543.0,20765.0
2020-04-22,154715.0,39988.0,21309.0
2020-04-23,157026.0,41414.0,21825.0
2020-04-24,158636.0,42715.0,22214.0
2020-04-25,160292.0,43816.0,22583.0
2020-04-26,160847.0,44125.0,22825.0
2020-04-27,164589.0,44733.0,23262.0
2020-04-28,167605.0,45997.0,23629.0
2020-04-29,165093.0,47338.0,24056.0
2020-04-30,165764.0,48572.0,24345.0
2020-05-01,165764.0,49300.0,24563.0
2020-05-02,166976.0,49751.0,24729.0
2020-05-03,167272.0,49973.0,24864.0
2020-05-04,167886.0,50438.0,25168.0
2020-05-05,168935.0,51803.0,25498.0
2020-05-06,172465.0,53022.0,25772.0
2020-05-07,173040.0,54076.0,25949.0
2020-05-08,174318.0,54770.0,26192.0
2020-05-09,174758.0,54886.0,26271.0
2020-05-10,175027.0,55062.0,26341.0
2020-05-11,175479.0,55569.0,26604.0
2020-05-12,176207.0,56617.0,26951.0
2020-05-13,175981.0,57368.0,27032.0
2020-05-14,176712.0,58300.0,27381.0
2020-05-15,177319.0,59143.0,27485.0
2020-05-16,177207.0,59142.0,27483.0
