date,median,lower_90,upper_90,lower_50,upper_50,confidence
2019-12-21,1.0,1,1,1,1,1.0
2019-12-22,0.0,0,0,0,0,1.0
2019-12-23,0.0,0,1,0,0,1.0
2019-12-24,1.0,0,1,1,1,1.0
2019-12-25,0.0,0,1,0,0,1.0
2019-12-26,0.0,0,1,0,0,1.0
2019-12-27,0.0,0,1,0,0,1.0
2019-12-28,0.0,0,1,0,0,1.0
2019-12-29,0.0,0,1,0,0,1.0
2019-12-30,0.0,0,1,0,0,1.0
2019-12-31,0.0,0,1,0,0,1.0
2020-01-01,0.0,0,1,0,0,1.0
2020-01-02,0.0,0,1,0,0,1.0
2020-01-03,0.0,0,1,0,0,1.0
2020-01-04,0.0,0,1,0,0,1.0
2020-01-05,0.0,0,1,0,0,1.0
2020-01-06,0.0,0,1,0,0,1.0
2020-01-07,0.0,0,1,0,0,1.0
2020-01-08,0.0,0,1,0,0,1.0
2020-01-09,0.0,0,1,0,0,1.0
2020-01-10,0.0,0,1,0,0,1.0
2020-01-11,0.0,0,1,0,0,1.0
2020-01-12,0.0,0,1,0,0,1.0
2020-01-13,0.0,0,1,0,0,1.0
2020-01-14,0.0,0,1,0,0,1.0
2020-01-15,0.0,0,1,0,0,1.0
2020-01-16,0.0,0,1,0,0,1.0
2020-01-17,0.0,0,1,0,0,1.0
2020-01-18,0.0,0,2,0,0,1.0
2020-01-19,1.0,0,2,0,1,1.0
2020-01-20,1.0,0,2,0,1,1.0
2020-01-21,1.0,0,2,0,1,1.0
2020-01-22,1.0,0,2,0,1,1.0
2020-01-23,1.0,0,2,0,1,1.0
2020-01-24,1.0,0,2,0,1,1.0
2020-01-25,1.0,0,2,0,1,1.0
2020-01-26,1.0,0,2,0,1,1.0
2020-01-27,1.0,0,2,0,1,1.0
2020-01-28,1.0,0,2,0,1,1.0
2020-01-29,1.0,0,2,0,1,1.0
2020-01-30,1.0,0,2,0,1,1.0
2020-01-31,1.0,0,2,0,1,1.0
2020-02-01,1.0,0,3,0,1,1.0
2020-02-02,1.0,0,3,0,1,1.0
2020-02-03,1.0,0,3,0,1,1.0
2020-02-04,1.0,0,4,0,1,1.0
2020-02-05,2.0,0,5,0,2,1.0
2020-02-06,2.0,0,6,0,2,1.0
2020-02-07,3.0,0,7,0,3,1.0
2020-02-08,4.0,0,10,1,4,1.0
2020-02-09,5.0,0,12,0,5,1.0
2020-02-10,6.0,0,15,2,7,1.0
2020-02-11,8.0,1,20,2,9,1.0
2020-02-12,11.0,0,24,3,11,1.0
2020-02-13,14.0,2,31,3,14,1.0
2020-02-14,18.0,3,39,6,19,1.0
2020-02-15,23.0,2,47,10,26,1.0
2020-02-16,30.0,5,59,15,35,1.0
2020-02-17,37.0,12,76,17,41,1.0
2020-02-18,47.0,13,88,25,55,1.0
2020-02-19,60.0,18,110,32,69,1.0
2020-02-20,76.0,26,136,47,89,1.0
2020-02-21,94.0,33,164,54,105,1.0
2020-02-22,118.5,50,202,75,134,1.0
2020-02-23,146.0,62,235,93,164,1.0
2020-02-24,180.5,85,290,117,203,1.0
2020-02-25,217.0,100,340,152,250,1.0
2020-02-26,263.0,134,413,194,305,1.0
2020-02-27,322.0,165,487,228,363,1.0
2020-02-28,387.0,214,578,283,432,1.0
2020-02-29,465.0,263,680,360,535,1.0
2020-03-01,557.0,335,803,426,627,1.0
2020-03-02,658.0,413,934,567,790,1.0
2020-03-03,783.5,476,1066,617,871,1.0
2020-03-04,924.0,590,1257,801,1075,1.0
2020-03-05,1088.5,706,1445,953,1260,1.0
2020-03-06,1279.0,858,1655,1040,1376,1.0
2020-03-07,1490.0,1075,1922,1318,1681,1.0
2020-03-08,1725.0,1307,2183,1483,1862,1.0
2020-03-09,1987.0,1474,2401,1831,2213,1.0
2020-03-10,2260.0,1812,2732,2081,2468,1.0
2020-03-11,2555.5,2084,3014,2352,2748,1.0
2020-03-12,2849.0,2408,3342,2704,3083,1.0
2020-03-13,3151.0,2677,3571,2928,3301,1.0
2020-03-14,3447.0,3069,3898,3285,3626,1.0
2020-03-15,3721.0,3319,4074,3540,3847,1.0
2020-03-16,3955.0,3594,4263,3861,4129,1.0
2020-03-17,4138.0,3812,4412,4035,4274,1.0
2020-03-18,4268.5,3995,4546,4165,4393,1.0
2020-03-19,4373.0,4100,4630,4284,4502,1.0
2020-03-20,4481.0,4170,4703,4399,4612,1.0
2020-03-21,4595.0,4322,4823,4493,4684,1.0
2020-03-22,4689.0,4448,4889,4618,4794,1.0
2020-03-23,4738.0,4534,4933,4658,4826,1.0
2020-03-24,4756.0,4530,4932,4680,4845,1.0
2020-03-25,4730.5,4505,4904,4670,4839,1.0
2020-03-26,4658.0,4434,4834,4577,4741,1.0
2020-03-27,4598.5,4381,4807,4464,4648,1.0
2020-03-28,4511.0,4228,4710,4405,4592,1.0
2020-03-29,4393.0,4143,4617,4295,4484,1.0
2020-03-30,4223.0,3989,4486,4114,4310,1.0
2020-03-31,4024.0,3783,4267,3915,4116,1.0
2020-04-01,3793.0,3563,4028,3678,3862,1.0
2020-04-02,3582.0,3335,3771,3494,3672,1.0
2020-04-03,3384.5,3204,3608,3316,3481,1.0
2020-04-04,3208.5,2994,3392,3131,3283,1.0
2020-04-05,3052.0,2872,3248,2987,3138,1.0
2020-04-06,2878.5,2718,3075,2810,2956,1.0
2020-04-07,2700.0,2557,2871,2592,2730,1.0
2020-04-08,2534.0,2400,2691,2470,2587,1.0
2020-04-09,2395.0,2265,2529,2346,2449,1.0
2020-04-10,2296.5,2177,2427,2250,2350,1.0
2020-04-11,2230.0,2090,2354,2174,2279,1.0
2020-04-12,2161.0,2035,2297,2105,2213,1.0
2020-04-13,2072.0,1929,2204,2023,2131,1.0
2020-04-14,1964.0,1839,2108,1900,2012,1.0
2020-04-15,1844.0,1715,1971,1793,1898,1.0
2020-04-16,1726.0,1607,1842,1680,1775,1.0
2020-04-17,1619.5,1499,1728,1574,1665,1.0
2020-04-18,1530.0,1420,1636,1498,1582,1.0
2020-04-19,1442.0,1319,1539,1405,1490,1.0
2020-04-20,1352.0,1251,1450,1308,1390,1.0
2020-04-21,1258.0,1172,1350,1216,1289,1.0
2020-04-22,1166.0,1072,1237,1126,1190,1.0
2020-04-23,1094.5,1024,1165,1069,1123,1.0
2020-04-24,1035.0,973,1097,1004,1055,1.0
2020-04-25,998.0,935,1055,966,1015,1.0
2020-04-26,967.0,907,1030,938,988,1.0
2020-04-27,945.0,882,1009,927,979,1.0
2020-04-28,914.0,854,970,885,932,1.0
2020-04-29,887.0,832,942,864,912,1.0
2020-04-30,857.0,798,908,830,876,1.0
2020-05-01,826.5,771,883,804,849,1.0
2020-05-02,805.0,752,863,777,822,1.0
2020-05-03,787.0,729,842,756,802,1.0
2020-05-04,759.0,708,814,738,782,1.0
2020-05-05,724.0,667,773,706,750,1.0
2020-05-06,686.0,638,736,660,699,1.0
2020-05-07,656.0,607,704,639,677,1.0
2020-05-08,632.0,590,680,610,647,1.0
2020-05-09,613.0,568,659,590,627,1.0
2020-05-10,594.0,550,639,572,608,1.0
2020-05-11,566.0,526,614,540,574,1.0
2020-05-12,541.0,495,574,523,555,1.0
2020-05-13,518.0,474,554,502,534,1.0
2020-05-14,501.0,463,538,483,515,0.99
2020-05-15,489.0,451,527,471,502,0.99
2020-05-16,479.0,438,515,462,491,0.99
2020-05-17,468.0,429,507,448,478,0.99
2020-05-18,454.0,410,485,440,471,0.98
2020-05-19,436.0,399,472,418,446,0.98
2020-05-20,425.0,385,459,411,440,0.97
2020-05-21,419.0,382,454,403,432,0.97
2020-05-22,417.0,379,456,398,430,0.96
2020-05-23,418.0,376,454,403,434,0.95
2020-05-24,418.0,376,453,400,430,0.93
2020-05-25,415.0,376,451,397,426,0.91
2020-05-26,408.0,371,451,388,421,0.89
2020-05-27,399.0,359,444,378,412,0.85
2020-05-28,395.0,349,440,373,408,0.81
